epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,120.238,0.67248,1.42877,1.05964,1.07232,0.71738,0.6,0.625,0.25349,0.47239,0.4,0.29778,0.15585,1.37075,10.1538,3.02325,1.92387,0.0011816,0.0011816,0.0011816
64,122.454,0.59314,0.49665,0.80844,0.96058,0.1916,0.6,0.19627,0.08956,0.16432,0.2,0.09537,0.03336,1.6198,11.2036,3.58659,2.1003,0.0011684,0.0011684,0.0011684
65,124.117,0.57244,0.73812,1.02978,1.00078,0.1916,0.6,0.19627,0.08956,0.16432,0.2,0.09537,0.03336,1.6198,11.2036,3.58659,2.1003,0.0011552,0.0011552,0.0011552
66,126.421,0.64953,0.72652,0.93467,1.02048,0.23236,0.8,0.21461,0.10531,0.13705,0.6,0.11923,0.03696,1.40866,12.8375,3.44744,2.12566,0.001142,0.001142,0.001142
67,128.737,0.61266,0.52173,0.86476,0.94789,0.23236,0.8,0.21461,0.10531,0.13705,0.6,0.11923,0.03696,1.40866,12.8375,3.44744,2.12566,0.0011288,0.0011288,0.0011288
68,131.046,0.71868,0.77654,1.05593,1.22601,0.47432,1,0.4975,0.2105,0.25546,0.8,0.22528,0.09869,1.32083,11.1565,3.41851,2.17989,0.0011156,0.0011156,0.0011156
69,132.692,0.49385,0.62146,0.69177,0.99062,0.47432,1,0.4975,0.2105,0.25546,0.8,0.22528,0.09869,1.32083,11.1565,3.41851,2.17989,0.0011024,0.0011024,0.0011024
70,134.958,0.6319,0.55006,0.79015,1.11013,0.59745,0.89714,0.655,0.27442,0.34027,0.8,0.31596,0.12328,1.34183,13.1372,4.89372,2.00308,0.0010892,0.0010892,0.0010892
71,136.833,0.52303,0.5754,0.69768,0.97603,0.59745,0.89714,0.655,0.27442,0.34027,0.8,0.31596,0.12328,1.34183,13.1372,4.89372,2.00308,0.001076,0.001076,0.001076
72,140.342,0.70766,0.67328,0.92731,1.02788,0.48129,0.93264,0.4975,0.2133,0.29696,0.8,0.25502,0.10407,1.34194,14.1246,4.25499,2.03531,0.0010628,0.0010628,0.0010628
73,142.868,0.58889,0.68593,0.76574,1.02131,0.48129,0.93264,0.4975,0.2133,0.29696,0.8,0.25502,0.10407,1.34194,14.1246,4.25499,2.03531,0.0010496,0.0010496,0.0010496
74,145.357,0.66082,0.99214,0.81124,1.00262,0.52476,1,0.55278,0.23833,0.31119,0.6,0.2334,0.12061,1.2812,14.3514,3.41888,2.01542,0.0010364,0.0010364,0.0010364
75,219.685,0.55972,0.43743,0.8616,0.93108,0.52476,1,0.55278,0.23833,0.31119,0.6,0.2334,0.12061,1.2812,14.3514,3.41888,2.01542,0.0010232,0.0010232,0.0010232
76,222.582,0.56616,0.59461,0.76366,1.13829,0.54148,1,0.5654,0.28255,0.32385,0.6,0.23671,0.10024,1.37301,14.7841,3.07367,1.94291,0.00101,0.00101,0.00101
77,230.285,0.50432,0.39041,0.62468,0.93666,0.54148,1,0.5654,0.28255,0.32385,0.6,0.23671,0.10024,1.37301,14.7841,3.07367,1.94291,0.0009968,0.0009968,0.0009968
78,654.373,0.58292,1.03295,0.93517,1.03457,0.48653,1,0.4975,0.19404,0.35976,0.6,0.2408,0.10188,1.90362,9.98027,3.24223,2.50313,0.0009836,0.0009836,0.0009836
79,658.893,0.56569,0.48611,0.73182,0.96468,0.48653,1,0.4975,0.19404,0.35976,0.6,0.2408,0.10188,1.90362,9.98027,3.24223,2.50313,0.0009704,0.0009704,0.0009704
80,661.803,0.43419,0.3445,0.62999,0.89879,0.44631,0.6,0.37023,0.13338,0.39208,0.6,0.26934,0.11023,1.91043,8.15602,3.37092,2.53157,0.0009572,0.0009572,0.0009572
81,663.725,0.56182,0.61253,0.73692,1.01187,0.44631,0.6,0.37023,0.13338,0.39208,0.6,0.26934,0.11023,1.91043,8.15602,3.37092,2.53157,0.000944,0.000944,0.000944
82,666.272,0.47493,0.3929,0.84983,0.94368,0.38251,0.4,0.41591,0.18314,0.45384,0.2,0.26032,0.15135,1.84334,6.9737,3.0097,2.24376,0.0009308,0.0009308,0.0009308
83,668.171,0.58529,0.38167,0.63849,0.98257,0.38251,0.4,0.41591,0.18314,0.45384,0.2,0.26032,0.15135,1.84334,6.9737,3.0097,2.24376,0.0009176,0.0009176,0.0009176
84,670.524,0.65073,0.41266,0.66037,1.09604,0.59707,0.59414,0.60167,0.29465,0.39861,0.4,0.32541,0.18758,1.62343,7.02762,2.339,1.96028,0.0009044,0.0009044,0.0009044
85,672.401,0.47201,0.38385,0.61083,0.92064,0.59707,0.59414,0.60167,0.29465,0.39861,0.4,0.32541,0.18758,1.62343,7.02762,2.339,1.96028,0.0008912,0.0008912,0.0008912
86,674.711,0.53026,0.50313,0.63766,0.95741,0.53449,0.6,0.67056,0.38149,0.3658,0.4,0.35041,0.21927,1.37137,7.67159,2.24907,1.65192,0.000878,0.000878,0.000878
87,676.49,0.4757,0.36333,1.05821,1.02342,0.53449,0.6,0.67056,0.38149,0.3658,0.4,0.35041,0.21927,1.37137,7.67159,2.24907,1.65192,0.0008648,0.0008648,0.0008648
88,678.774,0.48905,0.42334,0.62323,1.02347,0.5526,0.74729,0.67373,0.35355,0.40056,0.54118,0.25541,0.15079,1.41852,8.43704,1.96184,1.67202,0.0008516,0.0008516,0.0008516
89,680.53,0.54177,0.39726,0.75897,0.98631,0.5526,0.74729,0.67373,0.35355,0.40056,0.54118,0.25541,0.15079,1.41852,8.43704,1.96184,1.67202,0.0008384,0.0008384,0.0008384
90,682.955,0.55696,0.38258,0.62643,0.9809,0.74816,0.59559,0.73591,0.41208,0.48445,0.4,0.30233,0.17927,1.49312,8.83931,1.85167,1.807,0.0008252,0.0008252,0.0008252
91,684.778,0.43409,0.36504,0.58217,0.92854,0.74816,0.59559,0.73591,0.41208,0.48445,0.4,0.30233,0.17927,1.49312,8.83931,1.85167,1.807,0.000812,0.000812,0.000812
92,687.217,0.49582,0.45412,0.56684,0.90096,0.73636,0.6,0.745,0.5053,0.48337,0.4,0.30778,0.17929,1.30668,8.74467,1.8685,1.60156,0.0007988,0.0007988,0.0007988
93,689.039,0.57466,0.51167,0.66043,1.04544,0.73636,0.6,0.745,0.5053,0.48337,0.4,0.30778,0.17929,1.30668,8.74467,1.8685,1.60156,0.0007856,0.0007856,0.0007856
94,691.402,0.58465,0.4336,0.63889,0.94646,1,0.57719,0.82833,0.46569,0.49172,0.6,0.50861,0.26874,1.22467,8.43843,1.7905,1.59273,0.0007724,0.0007724,0.0007724
95,693.221,0.7085,0.51321,0.70836,0.96566,1,0.57719,0.82833,0.46569,0.49172,0.6,0.50861,0.26874,1.22467,8.43843,1.7905,1.59273,0.0007592,0.0007592,0.0007592
96,695.623,0.62616,0.54671,0.72971,1.01377,1,0.77908,0.96167,0.60933,0.6225,0.66749,0.62861,0.35979,1.14804,9.0624,1.54171,1.54534,0.000746,0.000746,0.000746
97,697.579,0.65673,0.79645,0.61886,1.04207,1,0.77908,0.96167,0.60933,0.6225,0.66749,0.62861,0.35979,1.14804,9.0624,1.54171,1.54534,0.0007328,0.0007328,0.0007328
98,699.964,0.47919,0.3459,0.57496,0.94604,1,0.96894,0.995,0.66729,0.79585,0.78342,0.67528,0.43519,1.09568,11.1716,1.4234,1.43809,0.0007196,0.0007196,0.0007196
99,702.299,0.58038,0.60946,0.70441,1.00738,1,0.96894,0.995,0.66729,0.79585,0.78342,0.67528,0.43519,1.09568,11.1716,1.4234,1.43809,0.0007064,0.0007064,0.0007064
100,705.028,0.53479,0.49898,0.58208,0.94003,1,0.99482,0.995,0.65818,0.79395,0.8,0.67528,0.43147,1.15513,12.8497,1.49042,1.48528,0.0006932,0.0006932,0.0006932
101,707.575,0.40251,0.31604,1.07046,0.93289,1,0.99482,0.995,0.65818,0.79395,0.8,0.67528,0.43147,1.15513,12.8497,1.49042,1.48528,0.00068,0.00068,0.00068
102,710.815,0.59927,0.39007,0.6186,1.03767,0.82196,1,0.96167,0.62961,0.65264,0.8,0.62862,0.36879,1.39032,14.253,1.7474,1.70776,0.0006668,0.0006668,0.0006668
103,712.84,0.48166,0.41247,0.55402,0.93842,0.82196,1,0.96167,0.62961,0.65264,0.8,0.62862,0.36879,1.39032,14.253,1.7474,1.70776,0.0006536,0.0006536,0.0006536
104,715.872,0.56733,0.4581,0.65879,0.99722,1,0.96811,0.995,0.61241,0.79257,0.77027,0.63629,0.24937,1.53861,15.6024,1.7145,2.12039,0.0006404,0.0006404,0.0006404
105,718.442,0.37999,0.3362,0.55637,0.93159,1,0.96811,0.995,0.61241,0.79257,0.77027,0.63629,0.24937,1.53861,15.6024,1.7145,2.12039,0.0006272,0.0006272,0.0006272
106,721.932,0.40384,0.34781,0.58652,0.91974,0.81641,1,0.96167,0.54252,0.93457,0.6,0.72862,0.37424,1.55167,13.4608,1.78518,2.02298,0.000614,0.000614,0.000614
107,724.363,0.36492,0.28451,0.62866,0.9476,0.81641,1,0.96167,0.54252,0.93457,0.6,0.72862,0.37424,1.55167,13.4608,1.78518,2.02298,0.0006008,0.0006008,0.0006008
108,727.26,0.44025,0.34124,0.56293,0.91447,0.96562,1,0.995,0.61056,0.76139,0.8,0.75528,0.46388,1.39817,11.0271,1.66359,1.65011,0.0005876,0.0005876,0.0005876
109,729.308,0.48852,2.00976,0.65916,0.9795,0.96562,1,0.995,0.61056,0.76139,0.8,0.75528,0.46388,1.39817,11.0271,1.66359,1.65011,0.0005744,0.0005744,0.0005744
110,732.133,0.495,0.29262,0.51334,0.98145,0.96957,1,0.995,0.69209,0.77454,0.8,0.75528,0.47501,1.27842,9.09233,1.62451,1.48773,0.0005612,0.0005612,0.0005612
111,734.092,0.42054,0.28479,0.51899,0.89858,0.96957,1,0.995,0.69209,0.77454,0.8,0.75528,0.47501,1.27842,9.09233,1.62451,1.48773,0.000548,0.000548,0.000548
112,737.654,0.52486,0.43962,0.63402,0.89091,1,0.9591,0.995,0.70412,0.93547,0.8,0.79528,0.46966,1.39272,7.65829,1.51258,1.59017,0.0005348,0.0005348,0.0005348
113,739.554,0.44766,0.28,0.6916,0.98322,1,0.9591,0.995,0.70412,0.93547,0.8,0.79528,0.46966,1.39272,7.65829,1.51258,1.59017,0.0005216,0.0005216,0.0005216
114,742.322,0.47087,0.7146,0.61019,1.0183,0.96766,1,0.995,0.71515,1,0.77054,0.79528,0.40655,1.4357,7.01302,1.54287,1.60091,0.0005084,0.0005084,0.0005084
115,744.264,0.37095,0.32373,0.59178,0.91997,0.96766,1,0.995,0.71515,1,0.77054,0.79528,0.40655,1.4357,7.01302,1.54287,1.60091,0.0004952,0.0004952,0.0004952
116,747.497,0.42852,0.28723,0.53928,0.98199,1,0.98964,0.995,0.70519,0.78632,0.8,0.75528,0.31238,1.22675,7.36559,1.52589,1.4942,0.000482,0.000482,0.000482
117,749.407,0.37465,0.35077,0.56019,0.89939,1,0.98964,0.995,0.70519,0.78632,0.8,0.75528,0.31238,1.22675,7.36559,1.52589,1.4942,0.0004688,0.0004688,0.0004688
118,752.322,0.46419,0.25997,0.61997,0.95598,1,0.93237,0.995,0.65316,0.98556,0.6,0.75528,0.30427,1.20943,7.66414,1.56821,1.48615,0.0004556,0.0004556,0.0004556
119,754.636,0.42889,0.55095,0.57244,0.89965,1,0.93237,0.995,0.65316,0.98556,0.6,0.75528,0.30427,1.20943,7.66414,1.56821,1.48615,0.0004424,0.0004424,0.0004424
120,758.434,0.39515,0.42301,0.60409,0.97892,1,0.93708,0.995,0.65701,1,0.59364,0.75528,0.3118,1.12091,7.74043,1.60773,1.49383,0.0004292,0.0004292,0.0004292
121,760.446,0.45568,0.2937,0.54673,0.93716,1,0.93708,0.995,0.65701,1,0.59364,0.75528,0.3118,1.12091,7.74043,1.60773,1.49383,0.000416,0.000416,0.000416
122,764.095,0.30633,0.25439,0.45295,0.87358,0.94251,1,0.995,0.68229,0.95527,0.4,0.39542,0.23682,1.00139,7.445,1.68194,1.42112,0.0004028,0.0004028,0.0004028
123,766.021,0.36575,0.23484,0.48841,0.83895,0.94251,1,0.995,0.68229,0.95527,0.4,0.39542,0.23682,1.00139,7.445,1.68194,1.42112,0.0003896,0.0003896,0.0003896
124,769.808,0.51687,0.31425,0.66801,0.88089,0.91779,1,0.995,0.61967,0.94387,0.4,0.39542,0.23682,1.01239,7.59876,1.78996,1.41276,0.0003764,0.0003764,0.0003764
125,771.821,0.51934,0.49929,0.69846,0.8795,0.91779,1,0.995,0.61967,0.94387,0.4,0.39542,0.23682,1.01239,7.59876,1.78996,1.41276,0.0003632,0.0003632,0.0003632
126,775.435,0.5317,0.49304,0.70617,1.00361,0.80063,0.80376,0.96167,0.58401,0.94503,0.4,0.39542,0.26659,1.04027,7.43789,1.85226,1.43354,0.00035,0.00035,0.00035
127,777.185,0.43532,0.31043,0.52596,0.96324,0.80063,0.80376,0.96167,0.58401,0.94503,0.4,0.39542,0.26659,1.04027,7.43789,1.85226,1.43354,0.0003368,0.0003368,0.0003368
128,780.619,0.37643,0.31129,0.51241,0.90443,0.91451,1,0.995,0.61664,0.94303,0.4,0.39542,0.23682,1.10102,7.67414,1.68104,1.47889,0.0003236,0.0003236,0.0003236
129,782.572,0.4457,0.41994,0.62412,0.91558,0.91451,1,0.995,0.61664,0.94303,0.4,0.39542,0.23682,1.10102,7.67414,1.68104,1.47889,0.0003104,0.0003104,0.0003104
130,785.389,0.5116,0.26266,0.51162,0.90658,0.96437,1,0.995,0.62351,0.94924,0.4,0.39541,0.29583,1.16385,7.97525,1.60361,1.53957,0.0002972,0.0002972,0.0002972
131,787.39,0.30279,0.3981,0.46401,0.8934,0.96437,1,0.995,0.62351,0.94924,0.4,0.39541,0.29583,1.16385,7.97525,1.60361,1.53957,0.000284,0.000284,0.000284
132,790.649,0.44766,0.35569,0.67987,0.95448,0.91149,1,0.995,0.6493,0.95915,0.4,0.39541,0.27581,1.17313,8.14936,1.61105,1.49322,0.0002708,0.0002708,0.0002708
133,792.615,0.44647,0.45851,0.53819,0.94505,0.91149,1,0.995,0.6493,0.95915,0.4,0.39541,0.27581,1.17313,8.14936,1.61105,1.49322,0.0002576,0.0002576,0.0002576
